Russian,Englishh
 сопрту,sport
 под рук.,under the directorship of
 на 1 стр, on 1 page
 на 2 стр, on 2 pages
 на 3 стр, on 3 pages
 на 4 стр, on 4 pages
 на 5 стр, on 5 pages
 на 6 стр, on 6 pages
 на 7 стр, on 7 pages
 на 8 стр, on 8 pages
 на 9 стр, on 9 pages
разрез,cross-section
приложения,appendices
приложение,appendix
Китай ,China 
Каракалпакстан ,Karakalpakstan 
Казахстан ,Kazakhstan
 Кыргызстан ,Kyrgyzstan
Таджикистан ,Tajikistan
 уркменистан ,Turkmenistan
Узбекистан ,Uzbekistan
Китайский, 中文
Английский,English
Казакхский,Қазақша
Киргизский,Кыргызча
Каракалпакский,Қарақалпақша
Русский ,Русский
Таджикский,Тоҷикӣ
Туркменский ,Türkmençe
Арабский ,ئۇيغۇر 
Узбекский,Ўзбекча (O'zbekcha)
Археологический памятник,Archaeological site
Историческое здание,Historic Building
Ландшафт ,Landscape
Предмет ,Object 
Структура,Structure
Археологический памятник,Archaeological site
Историческое здание,Historic Building
Ландшафт,Landscape
Предмет,Object 
Структура,Structure
Городище,Hillfort
Город,City
Округ / сельский административный округ,County
Участок,District
Этрап,Etrap
Соседство,Neighbourhood
Область,Oblast
Префектура,Prefecture
Провинция,Province
Район,Rayon
Туман,Tuman
Село/Посёлок,Village/settlement
Вилоят,Viloyat
Велаят,Welayat
Ранняя античность,Early Antiquity
АХЕМЕНИДЫ,ACHAEMENID
ЧАГАТАЙСКОЕ ХАНСТВО,CHAGATAI KHANATE
Мавераннахр,Western Chagatai Khanate (Mawerenahr)
Моголистан,Eastern Chagatai Khanate (Moghulistan)
ГАЗНЕВИДЫ,GHAZNAVID
ГРЕКО-БАКТРИЙСКИЙ,GRECO-BACTRIAN
Греко-македонский,GREEK-MACEDONIAN
ЭЛЛИНИСТИЧЕСКИЙ,HELLENISTIC
ЭФТАЛИТЫ,HEPHTHALITE
КУШАНСКИЙ,KUSHAN
МОНГОЛЫ,MONGOL
ПАРФЯНЕ,PARTHIAN
САРМАТЫ,SARMATIANS
САСАНИДЫ,SASANIAN
Шейбаниды,Shaybanids
СЕЛЕВКИДЫ,SELEUCID
СОГДИЙСКИЙ,SOGDIAN
ТИБЕТСКАЯ ИМПЕРИЯ,TIBETAN EMPIRE
ТИМУРИДСКИЙ,TIMURID
ТЮРКСКИЙ КАГАНАТ,TURKIC KHAGANATE
ВОСТОЧНО-ТЮРКСКИЙ КАГАНАТ,EASTERN TURKIC KHAGANATE
ЗАПАДНО-ТЮРКСКИЙ КАГАНАТ,WESTERN TURKIC KHAGANATE
УЙГУРСКИЙ КАГАНАТ,UYGHUR KHAGANATE
ХУННУ (СЮННУ),XIONGNU
Династия Ся,Xia Dynasty
Династия Шан,Shang Dynasty
Западный Чжоу,Western Zhou
Восточная Чжоу,Eastern Zhou
Весенний и осенний период (период Чуньцю),Eastern Zhou Spring and Autumn Period
ВРАЖДУЮЩИЕ ЦАРСТВА,Eastern Zhou Warring States Period
Династия Чин,Qin Dynasty
Династия Хан,Han Dynasty 
ТРОЕЦАРСТВИЕ,"Wei, Jin, Southern and Northern Dynasties"
ДИНАСТИЯ СУН,Sui
ДИНАСТИЯ ТАН,Tang
Период пяти династий и десяти королевств,Five Dynasties and Ten Kingdoms Period 
Династия Сун,Song Dynasty
Династия юань,Yuan Dynasty
 МИН ,Ming Dynasty 
ДИНАСТИЯ ЧИНГ,Qing Dynasty
Китайская Республика,Republic of China 
АББАСИДЫ,ABBASID
РАННЕ-ИСЛАМСКИЙ,EARLY ISLAMIC
ГАЗНЕВИДЫ,GHAZNAVID
КАРАХАНИДСКИЙ,KARAKHANID
ХОРЕЗМИЙСКИЙ,KHWARAZMIAN
ПОЗДНЕ-ИСЛАМСКИЙ,LATE ISLAMIC
КАРАХАНИДСКИЙ,QARAKHANID
САМАНИДЫ,SAMANID
СЕЛЬДЖУКСКИЙ,SELJUK
ТАХИРИДЫ,TAHIRID
ОМЕЙЯДЫ,UMAYYAD
Поздняя античность,Late Antiquity
Средневековый,Medieval
РАННЕ-СРЕДНЕВЕКЫЙ,EARLY MEDIEVAL
ПОЗДНЕ-СРЕДНЕВЕКОВЫЙ,LATE MEDIEVAL
Современный,Modern
Пост средневековье,Post Medieval
Доисторический,Prehistoric
АНДРОНОВО,ANDRONOVO
Синташтинская культура/петровская культура,Sintashta-Petrovka culture
Алакульская культура,Alakul
Федоровская культура,Fedorovo
"Замараев; Алексеевско-саргаринская, бегазы-дандыбаевская культуры",Zamaraev
БМАК,BMAC
БРОНЗОВЫЙ ВЕК,BRONZE AGE
ХАЛКОЛИТ/ЭНЕОЛИТ,CHALCOLITHIC/ENEOLITHIC
ЖЕЛЕЗНЫЙ ВЕК,IRON AGE
МЕЗОЛИТ,MESOLITHIC
Ранний мезолит,Early Mesolithic
Поздний мезолит,Late Mesolithic
НЕОЛИТ,NEOLITHIC
РАННИЙ НЕОЛИТ,EARLY NEOLITHIC
ПОЗДНИЙ НЕОЛИТ,LATE NEOLITHIC
СРЕДНИЙ НЕОЛИТ,MIDDLE NEOLITHIC
ПАЛЕОЛИТ,PALAEOLITHIC
НИЖНИЙ ПАЛЕОЛИТ,LOWER PALEOLITHIC
СРЕДНИЙ ПАЛЕОЛИТ,MIDDLE PALEOLITHIC
ВЕРХНИЙ ПАЛЕОЛИТ,UPPER PALEOLITHIC
скифская эпоха,Scythian
Первое скифское царство,First Scythian Kingdom
Второе скифское царство,Second  Scythian Kingdom
Третье скифское царство,Third  Scythian Kingdom
Сакская эпоха,Saka period
Тасмолинская культура,Tasmola culture
Пазырыкская культура,Pazyryk culture
Майэмирский этап РЖВ Алтая и Восточного Казахстана,Mayemir stage of Early Iron Age of Altay and Eastern Kazakhstan
Кулажоргинский этап РЖВ Алтая и Восточного Казахстана,Kulazhorgin stage of Early Iron Age of Altay and Eastern Kazakhstan
Сакская культура Приаралья,Saka culture of Aral Sea region
Сарматы,Sarmats/Sarmatians
Прохоровская (раннесарматская) культура,Prohorov (early-Sarmat) culture
Среднесарматская культура,Mid-Sarmat culture
Позднесарматская культура,Late-Sarmat culture
Саргатская культура (лесостепь Западной Сибири и Зауралья) –,Sargat culture (forest-steppe of the Western Siberia and Trans-Urals)
Ранние государственные образования,Early state formations
Кангюй,Kangyuy
Усунь,Usun
Оседло-земледельческие культуры Юго-Восточного Приаралья,Sedentary-agricultural cultures of the South-Eastern Aral Sea region
Чирикрабатская культура,Chrikirabad culture
Джетыасарская культура,Zhetyasar culture
Афригиды,Afrighid
Кердерская культура,Kerder culture
недостоверный,Uncertain
,
,
,
Площадь,Area
площадь буферной зоны,buffer zone area
охранная зона,protected area
площадь охранной зоны,protected zone area
ширина,breadth
глубина,depth
диаметр,diameter
высота,height
длина,length
периметр,perimeter
,
Памятник местного значения,Local level site
Памятник городского уровня,City Level Site
Памятник уровня округа,County Level Site
Памятник национального уровня,National Level Site
Памятник провинциального уровня,Provincial Level Site
Памятник регионального уровня,Regional Level Site
International Level Site,International Level Site
Объект всемирного наследия,World Heritage Site
Не принят под охрану,Undesignated
Памятник республиканского значения,Republic level site
Находится в списке предварительного учета,Provisional register
Внесен в свод памятников,Registry of monuments
Принят под охрану,Under protection
Не принят по охрану,Not under protection
Включен в государственный списко памятников местного значения,Listed in the State register of local level sites
Высокая,High
Средняя,Medium
Низкая,Low
Неизвестно,Unknown
Административный,Administrative
Административный,Customs post
Правительственные здания,Government offices
Официальная резиденция,Official residence
Сельское хозяйство и проживание ,Agriculture and subsistence
 Амбар ,Barn
 Ров ,Ditch
Углубленное ограждение,Ditched enclosure
Ограда,Enclosure
Сельский дом,Farm house
Ограда,Fence
Граница поля,Field boundary
Ирригация,Irrigation
Оазис,Oasis
Археологическая черта,Archaeological feature
Постройка,Building
Захороненная почва,Buried soil
Плоский объект,Flat site
Очаг,Hearth
Печь,Oven
Яма,Pit
Случайная находка,Stray find
Сборы с поверхно-сти или подъемный материал,Surface scatter
Приподнятая зона отложений,Elevated depositional area
Низколежащая зона отложений,Low-lying depositional area
Поле битвы,Battlefield
Комплекс,Building complex
Культурный ландшафт,Cultural landscape
Оборонительные сооружения,Defence
Барбикан,Barbican
Замок ,Castle
Городской бастион ,City/town bastion
Городская стена,City/town wall
Фундамент стены,Wall foundation 
 Парапетная стена,Parapet wall
 Форт , Fort
 Укрепление, Fortification
 Вал , Rampart
 Крепость, Fortress
 Городские ворота, City/town gate
 Ров, Moat
Аванпост/станция, Outpost/station
Орудийная башня, Turret
Сторожевая башня, Watchtower
 Сад , Garden
 Здоровье и Благосостояние, Health and Welfare
 Баня, Bath house
Больница,Hospital
Жилой дом,House
Входной портал,Entrance portal
Гостиная,Living room
Приёмная,Reception
Жилой дом,Residential building
Традиционный дом,Traditional house
Индустриальный,Industrial
Памятник обработки меди,Copper working site
Печь обжига,Furnace
Маталообрабатывающая печь,Metalworking furnace
Рудная печь,Ore furnace
Промышленное здание,Industrial building
Индустриальное наследие,Industrial heritage
Культурные реликвии Производственно-строительного корпуса,cultural relics of the Production and Construction Corps
Печь,Kiln
Кирпичная печь,Brick kiln
Керамическая печь,Pottery kiln
Кафельная печь,Tile kiln
Мельница,Mill
Водяная Мельница,Watermill
Рудник,Mine
Медный Рудник,Copper mine
Шахта / плавильный объект,Mining/smelting site
Карьер,Quarry
Мастерская,Workshop
ткацкий цех,Carpet weavers workshop
Черта ландшафта,Landscape feature
Ущелье,Gorge
Проход,Pass
Долина,Valley
Русло реки,Wadi
Дворец,Palace
Павильон,Pavilion
Столб,Pillar
Ритуал религия и погребение,Ritual religion and funerary
Зал предков,Ancestral hall
Барельеф,Bas-relief
Захоронение,Burial
Погребальное скопление,Burial assemblage
Погребальная камера,Burial chamber
Могильный холм,Burial mound
Яма для захоронения,Burial pit
Усыпальница,Burial vault
Кладбище,Cemetery
Могильник,Burial ground
место захоронения,Burial site
Кладбише кремации,Cremation Cemetery
Кладбише погребений,Burial Cemetery
Камералная гробница,Chambered tomb
Захоронение с Колесницой ,Chariot burial
Циста,Cist
Захоренение Кремации,Cremation burial
Могила,Grave
Погребальный инвентарь,Grave goods
Кладбище / Могилник,Graveyard
Конное захоронение,Horse burial
Жертвоприношение людей и животных,Human and animal sacrifice
Ингумационное захоронение,Inhumation burial
Курган земляной,The kurgan is earthen
Курганы земляные,Kurgans are earthen
Группа курганов,group of kurgans
курганный,Kurgan
курганов,kurgans
Курганное поле,Kurgan burial ground
Курганы,Kurgans
Курган,kurgan
Курган (пирамидальный),Kurgan (pyramidal)
Курган (кольцевой),Kurgan (ring)
Некрополь,Necropolis
Гробница ,Tomb
Могильная яма,Tomb pit
Дыны,Dyn type burial
Пирамидное захоронение  ,Pyramid-shaped burial
Надгробный камень,Tombstone
Каирн,Cairn
Резьба; резное изображение,Carving
Культовый памятник ,Cult site
Дахма,Dahma
Граффити,Graffiti
Грот,Grotto
Грот комплекс / храм,Grotto complex/temple
Пещера с центральной колонной,Central pillar cave
Настенная роспись,Wall painting/mural
Скульптура,Sculpture 
Архитектура прилагающейся к гротам,Architecture attached to grottos
Ханака,Hanaka
Хендж,Henge
Надпись,Inscription
Медресе,Madrasa
Мавзолей,Mausoleum
 Мазар (Ма чжа),Mazar (Ma Zha)
Мемориальная арка / экран,Memorial arch/screen
Минарет,Minaret
Пагода,Pagoda
Петроглиф,Petroglyph
Религиозный комплекс,Religious complex
Церковь,Church
Монастырь,Monastery
Мечеть,Mosque
Храм,Temple
Наскальные рисунки / надписи на скалах,Rock carving / cliff inscriptions 
Древние стелы / надписи на табличках,Ancient steles / tablet inscriptions 
Наскальное изображение ,Rock art
Оленные камни ,Deer stone
Балбал / Балбалтас,Man stone
Школа Священного Писания,Sacred scripture school
стог жертвопринозщений,Sacrificial stack
Святилище,Sanctuary
Стоящий камень,Standing stone
Статуя,Statue
Каменный круг,Stone circle
Ступа,Stupa
Военный мемориал,War memorial
Русская и советская архитектура,Russian and Soviet architecture 
Школа,school
Историческая школа / академия,Historical school/academy
Поселение, Settlement
Пещера, Cave
Цитадель, Citadel
Город , City 
Внутренний город,Inner city
Внешний город,Outer city
Динг, Ding
Традиционный дом,Folk house
Городище,Hillfort
Кёшк, Koshk
Особняк,Manor house
Кочевой лагерь,Nomadic campsite
Каменный фундамент,Stone foundation 
Дверной проем,Doorway
Яма для огня,Fire pit
депе,tepe
Тепе,Tepe
Городок,Town
Жилища из каменного круга ,Stone circle dwelling
Каменная платформа / здание,Stone platform /building
Незакрытое поселение,Unenclosed settlement
Деревня,Village
Объект ,Site
,
Стоянка,Early hominid site
Руины,Ruin
Структура,Structure
башня,Tower
Торговля / коммерция,Trade/commerce
Древний маршрут,Ancient route
Башня маяка,Beacon tower
Мост,Bridge
Караван-сарай,Caravanserai
Караван-сарай с двумя дворами,Double courtyard caravanserai
Караван-сарай с одним двором,Single courtyard caravanserai
Пустынный лагерь,Desert camp
Место остановки в пустыни,Desert stopping place
Фундук,Funduq
Ворота,Gate
Хоспис,Hospice
Гостиница,Inn
Карун,Karun
Хан,Khan
Рынок,Market
Базар,Bazaar
Путь / Тропа,Path/Track
Дорога,Road
Магазин,Shop
Место остановки,Stopping place
Склад,Warehouse
Промежуточная станция,Waystation
Пристань,Wharf
Мастерская,Workshop
ткацкий цех,Carpet weavers workshop
Водоснабжение и водоотведение,Water supply and disposal
Выгребная яма,Cess pit
Дамба,Dam
Дренаж,Drain
Канализация,Sewer
Источник воды,Water source
Хранение воды,Water storage
Цистерна,Cistern
пруд,Pond
Водохранилище,Reservoir
Сардоба,Sardoba
Резервуар,Water tank
Колодец,Well
Течение воды,Watercourse
Акведук,Aqueduct
Канал,Canal
Палеоканал,Palaeochannel
Канат / Кяриз,Qanat
Поток,Stream
неизвестно,Unknown
пахса,pahsa-material
пахсовых ,pahsa
тамги,tamgas
тамга,tamga
зимовка,winter camp-site
,
Таласская долина,Talas valley
Чуйская долина,Chu valley
Ферганская долина,Ferghana valley
Хорезмский Оазис,Khorezm Oasis
Нижняя Амударья,Lower Amu Darya
Средняя Амударья,Middle Amu Darya
Южный Туркменистан,Southern Turkmenistan
Сурхандарьинская долина,Surkhan Darya valley
Сырдарьинская долина,Syr Darya valley
Тибет,Tibet
Синьцзян,Xinjiang
Зеравшанская долина,Zarafshan valley
Анимизм,Animism
Атеизм,Atheism
Буддизм,Buddhism
Христианство,Christianity
Восточный православный,Eastern Orthodox
Индуизм,Hinduism
Ислам,Islam
Джайнизм,Jainism
Иудаизм,Judaism
Старообрядцы,Old Believers
Язычество,Paganism
Растафари,Rastafari
Синто,Shinto
Сикхизм,Sikhism
Суфизм,Sufism
Даосизм,Taoism
Зороастризм,Zoroastrianism
сантиметр,centimetres
граммов,grams
 га , hectares
килограмм,kilograms
километров,kilometres
метры,metres
миллиметры,millimetres
квадратные метры,square metres
щахристан,shahristan
